Paso,Valor
0,1.0
1,1.1
2,1.2100000000000002
3,1.1
4,1.0
5,0.9090909090909091
6,1.0
7,0.9090909090909091
8,0.8264462809917354
9,0.9090909090909091
10,0.8264462809917354
11,0.7513148009015777
12,0.8264462809917354
13,0.7513148009015777
14,0.8264462809917354
15,0.9090909090909091
16,1.0
17,1.1
18,1.0
19,0.9090909090909091
20,1.0
21,0.9090909090909091
22,0.8264462809917354
23,0.9090909090909091
24,0.8264462809917354
25,0.9090909090909091
26,0.8264462809917354
27,0.7513148009015777
28,0.8264462809917354
29,0.7513148009015777
30,0.8264462809917354
31,0.7513148009015777
32,0.8264462809917354
33,0.7513148009015777
34,0.6830134553650705
35,0.7513148009015777
36,0.8264462809917354
37,0.7513148009015777
38,0.6830134553650705
39,0.7513148009015777
40,0.6830134553650705
41,0.620921323059155
42,0.5644739300537773
43,0.6209213230591552
44,0.5644739300537774
45,0.6209213230591553
46,0.5644739300537774
47,0.6209213230591553
48,0.6830134553650709
49,0.6209213230591553
50,0.5644739300537774
51,0.6209213230591553
52,0.5644739300537774
53,0.5131581182307068
54,0.5644739300537776
55,0.6209213230591554
56,0.683013455365071
57,0.7513148009015781
58,0.826446280991736
59,0.9090909090909097
60,0.8264462809917361
61,0.7513148009015783
62,0.8264462809917362
63,0.90909090909091
64,1.000000000000001
65,1.1000000000000014
66,1.2100000000000017
67,1.331000000000002
68,1.2100000000000017
69,1.1000000000000016
70,1.0000000000000016
71,1.1000000000000019
72,1.2100000000000022
73,1.3310000000000024
74,1.4641000000000028
75,1.6105100000000032
76,1.7715610000000037
77,1.9487171000000043
78,1.771561000000004
79,1.6105100000000034
80,1.771561000000004
81,1.6105100000000034
82,1.464100000000003
83,1.6105100000000034
84,1.771561000000004
85,1.9487171000000045
86,2.143588810000005
87,2.357947691000006
88,2.143588810000005
89,1.9487171000000045
90,2.143588810000005
91,2.357947691000006
92,2.5937424601000068
93,2.357947691000006
94,2.143588810000005
95,2.357947691000006
96,2.143588810000005
97,1.9487171000000045
98,1.7715610000000042
99,1.6105100000000037
