Paso,Valor
0,1.0
1,1.1
2,1.2100000000000002
3,1.1
4,1.0
5,1.1
6,1.0
7,0.9090909090909091
8,1.0
9,0.9090909090909091
10,1.0
11,1.1
12,1.2100000000000002
13,1.3310000000000004
14,1.2100000000000004
15,1.3310000000000006
16,1.4641000000000008
17,1.610510000000001
18,1.7715610000000013
19,1.9487171000000016
20,2.143588810000002
21,2.3579476910000023
22,2.5937424601000028
23,2.8531167061100033
24,2.5937424601000028
25,2.8531167061100033
26,3.138428376721004
27,2.8531167061100033
28,2.5937424601000028
29,2.8531167061100033
30,3.138428376721004
31,2.8531167061100033
32,2.5937424601000028
33,2.8531167061100033
34,3.138428376721004
35,2.8531167061100033
36,2.5937424601000028
37,2.8531167061100033
38,3.138428376721004
39,3.4522712143931047
40,3.7974983358324153
41,4.177248169415657
42,4.594972986357223
43,4.177248169415657
44,4.594972986357223
45,5.054470284992946
46,5.559917313492241
47,5.054470284992946
48,5.559917313492241
49,6.115909044841465
50,5.559917313492241
51,5.054470284992946
52,4.594972986357224
53,4.177248169415658
54,3.797498335832416
55,3.4522712143931056
56,3.138428376721005
57,3.4522712143931056
58,3.7974983358324166
59,4.177248169415659
60,4.5949729863572255
61,5.054470284992949
62,5.559917313492244
63,6.1159090448414695
64,5.559917313492245
65,6.11590904484147
66,5.559917313492246
67,5.05447028499295
68,5.559917313492246
69,5.05447028499295
70,4.594972986357227
71,4.177248169415661
72,3.797498335832419
73,3.452271214393108
74,3.797498335832419
75,3.452271214393108
76,3.138428376721007
77,3.4522712143931082
78,3.7974983358324192
79,4.177248169415662
80,4.594972986357228
81,5.054470284992951
82,5.559917313492247
83,5.054470284992951
84,4.594972986357228
85,4.177248169415662
86,3.7974983358324197
87,3.4522712143931087
88,3.7974983358324197
89,4.177248169415662
90,3.7974983358324197
91,3.4522712143931087
92,3.7974983358324197
93,3.4522712143931087
94,3.7974983358324197
95,4.177248169415662
96,4.594972986357228
97,5.054470284992951
98,4.594972986357228
99,5.054470284992951
