Paso,Valor
0,1.0
1,1.1
2,1.0
3,1.1
4,1.0
5,0.9090909090909091
6,0.8264462809917354
7,0.7513148009015777
8,0.8264462809917354
9,0.9090909090909091
10,0.8264462809917354
11,0.9090909090909091
12,0.8264462809917354
13,0.7513148009015777
14,0.8264462809917354
15,0.7513148009015777
16,0.6830134553650705
17,0.620921323059155
18,0.5644739300537773
19,0.6209213230591552
20,0.5644739300537774
21,0.6209213230591553
22,0.5644739300537774
23,0.5131581182307068
24,0.4665073802097334
25,0.42409761837248494
26,0.38554328942953175
27,0.3504938994813925
28,0.3186308177103568
29,0.3504938994813925
30,0.3186308177103568
31,0.28966437973668796
32,0.3186308177103568
33,0.3504938994813925
34,0.3186308177103568
35,0.28966437973668796
36,0.26333125430607995
37,0.28966437973668796
38,0.26333125430607995
39,0.28966437973668796
40,0.26333125430607995
41,0.23939204936916358
42,0.26333125430607995
43,0.23939204936916358
44,0.26333125430607995
45,0.28966437973668796
46,0.26333125430607995
47,0.23939204936916358
48,0.26333125430607995
49,0.23939204936916358
50,0.2176291357901487
51,0.23939204936916358
52,0.26333125430607995
53,0.23939204936916358
54,0.26333125430607995
55,0.28966437973668796
56,0.3186308177103568
57,0.3504938994813925
58,0.3186308177103568
59,0.3504938994813925
60,0.38554328942953175
61,0.3504938994813925
62,0.38554328942953175
63,0.3504938994813925
64,0.3186308177103568
65,0.3504938994813925
66,0.3186308177103568
67,0.3504938994813925
68,0.38554328942953175
69,0.3504938994813925
70,0.3186308177103568
71,0.3504938994813925
72,0.3186308177103568
73,0.28966437973668796
74,0.26333125430607995
75,0.28966437973668796
76,0.26333125430607995
77,0.23939204936916358
78,0.2176291357901487
79,0.23939204936916358
80,0.26333125430607995
81,0.28966437973668796
82,0.3186308177103568
83,0.3504938994813925
84,0.38554328942953175
85,0.42409761837248494
86,0.38554328942953175
87,0.42409761837248494
88,0.4665073802097335
89,0.5131581182307069
90,0.5644739300537777
91,0.5131581182307069
92,0.5644739300537777
93,0.5131581182307069
94,0.46650738020973354
95,0.5131581182307069
96,0.46650738020973354
97,0.424097618372485
98,0.3855432894295318
99,0.35049389948139253
